,MAE,WAPE,sMAPE,RMSE
HistGradientBoosting,0.047507219928675626,0.3489970242694261,0.3604810029785683,0.06551220231679815
baseline,0.061583333333333344,0.45240281603917976,0.464261941461343,0.08665496715903441
